"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07"
15301,Washington,PA,Pittsburgh,Washington,39100,39300,39600,39600,39500,39200,38600,38200,38100,38200,38300,38400,38700,38800,38500,37900,37500,37400,37500,37700,38000,38500,38700,38800,38700,38300,37600,37300,37700,38700,39700,40300,40500,40500,40700,41300,42800,44700,46400,47800,48600,49000,49200,49400,49400,49600,49700,49300,48200,47000,46400,46100,45700,45200,45300,45600,45600,45500,46000,46800,47600,47900,48300,48800,49400,50200,50700,50700,51200,52400,52800,52400,51400,51000,51300,51500,51200,51100,50700,50200,50100,49500,48800,48400,48900,49300,49100,48900,49200,49200,48400,47200,46400,45700,45800,46000,45700,45300,45500,45800,45800,45500,45900,47000,47800,48300,48900,49600,50300,51000,51400,51700,51700,51800,52200,52900,52900,52400,51800,51400,51400,51800,51600,51000,50900,51400,51600,51500,51800,52200,52700,53200,53600,53800,54100,54100,54100,54600,55600,56600,56900,56200,55000,54000,53200,52700,52800,53300,53800,53200,52200,51700,52500,54600,56900,57900,58100,57900,57400,56800,56300,56100,56200,56400,56600,56300,56000,56400,56900,57400,57900,58300,58400,58600,58600,58300,58500,59000,59500,59100,58200,57600,57200,56900,57700,58800,58500,58000,57700,57800,57500,57600,58200,58700,58900,59200,59000,58400,58100,57400,56500,56000,55900,55700,56100,57000,57900,58300,58500,58500,58400,58200,57900,57500,57800,58900,59000,58600,59400,61000,61500,62600,65000,66800,66400,64900,64600,66000,67600,68200,67900,67100
15237,Ross Township,PA,Pittsburgh,Allegheny,53600,50600,48300,46800,45900,45400,45300,45200,45300,45600,45800,46100,46700,47400,47800,48100,48300,48600,48600,48400,48400,48300,47500,46700,46500,47000,47700,48500,48900,49000,49100,49300,49700,50000,50000,49700,49600,49300,48900,48800,48700,48800,49100,49500,49600,49800,50000,50200,50700,51300,51600,51700,51600,51400,51200,51300,51300,51100,50800,50700,50600,50500,51000,51400,51600,51800,52000,52000,52100,52300,52500,53000,53700,54600,55000,55200,55800,56900,57700,58400,58900,59400,59800,60400,60700,60800,60900,60800,60600,60600,60500,59800,59100,59300,59700,59500,58700,58200,58500,59500,60200,60300,59700,59500,60000,60900,61700,63000,64400,65700,66700,67300,67600,67400,68300,69900,71100,70800,70300,69400,69700,70300,70100,69600,69900,69700,69100,68800,68500,67800,67300,66800,65900,64800,63900,63100,62700,63400,64900,66000,66400,66400,66300,66300,66100,66100,66100,65700,65100,64600,64000,63000,61900,61500,61900,62400,62600,62500,62900,63800,64600,65200,65300,65200,65600,66200,66400,66600,66700,67000,67300,67400,67000,66600,66500,66500,66400,66800,67400,67800,67900,68000,67800,67400,67100,67300,67200,66600,66200,66000,66000,66500,67100,67600,67900,67800,67500,66900,66400,65900,65400,65400,65500,65400,65400,65100,64900,65400,65600,65200,65300,66000,66700,66700,66400,66300,66900,67800,68700,69400,70400,71600,72500,73400,74800,75600,75300,74600,74100,73800,73200,72700
15108,Moon Township,PA,Pittsburgh,Allegheny,48100,45600,43900,43000,42400,41700,41000,40400,40000,39600,39500,39700,40000,40000,39800,39400,39400,39500,39200,38500,38300,38500,38600,38300,38400,38900,39200,39200,39200,39500,40100,40800,41000,41400,41600,41400,41000,41100,41500,41400,41200,41000,40900,40900,41100,41300,41300,41500,41800,42200,42500,42500,42200,41700,41000,40900,41300,41300,41100,41000,40400,39600,39400,39600,40000,40400,40600,40800,41000,41400,41400,41400,41800,42100,42000,42000,42000,41600,41200,41000,41500,42200,42700,43300,44200,45000,45400,45400,45400,45900,46200,46100,45900,45800,45500,45500,45800,45900,45800,45600,45400,44900,44600,44400,44400,44800,45700,46100,45900,46300,47000,48200,49700,51500,54300,56600,55900,54000,52800,51700,50900,50300,49900,49400,48500,47600,47100,46800,46500,46100,45900,46100,46600,46900,47000,47200,47100,46900,46700,46800,47500,47900,47700,47300,47200,47300,47400,47400,47800,47700,47100,46700,46800,47100,47600,48000,47900,47900,47700,47300,46900,47100,47700,48200,48600,49200,49900,50500,50600,50000,49000,49200,50200,49600,47600,46200,45500,45400,45700,45800,45600,45800,46400,45900,45000,45300,45700,44800,44100,43800,43300,43400,43800,44100,44400,44600,45200,46200,46900,46700,46500,46000,45300,44900,44700,44600,45100,45700,46000,46100,46700,48000,49500,50300,50500,49900,49300,49100,48700,47900,47000,46300,46000,46200,46300,46500,46700,46800,46800,46700,46600,46700
15235,Penn Hills,PA,Pittsburgh,Allegheny,42200,42100,42500,42200,41600,41200,41200,41200,41100,41100,41500,41700,41400,41500,41900,42600,42900,43100,43700,44500,44800,45000,45000,45200,45600,46100,46200,45900,46000,46400,46600,46700,46900,47400,47700,47600,47400,47600,47900,48200,48200,48100,48000,47900,47900,48200,48500,48800,48900,49000,49200,49300,49400,49300,49100,48900,49000,49000,49100,49400,49700,49700,49700,50100,50600,50700,50800,51200,51600,51800,51900,52100,52600,52800,52500,52800,53400,53700,53900,53800,53600,53800,54100,54200,54300,54500,54500,53900,53800,54600,55200,55400,55800,56000,55700,55400,55500,55800,56600,57000,57200,57300,57100,57100,57400,57500,57700,57800,57600,57200,56600,56200,55800,55600,56100,56900,57500,58000,58700,59300,59800,60200,61300,62500,62500,62100,62000,61700,60600,59800,59400,59300,59000,58200,57200,57200,58100,57600,56300,55700,56200,57100,57400,57200,57400,58000,58000,56800,56100,56500,57600,57600,57000,55700,54600,54400,54800,55100,55300,55400,55500,55500,55600,56000,56200,56200,56000,56100,55900,55400,55200,55600,55900,56400,56600,56700,56600,56800,57300,57100,56200,55500,55300,55100,54700,54600,55200,55300,55100,55700,56500,56400,55600,55100,55200,55200,54900,54900,55000,54900,54800,54800,54700,54600,55800,57000,57200,57300,58100,57500,55900,55100,55300,55200,54600,54500,55200,56300,57200,57400,56800,56800,57000,57100,57200,57900,58700,59300,59100,58600,58900,59500
15317,North Strabane Township,PA,Pittsburgh,Washington,48200,48700,49200,49400,49600,49400,48900,49100,49800,49900,49700,49700,49500,49000,48300,47600,46800,46300,46700,47200,47200,47500,47900,47700,47700,48600,50100,51700,52900,53400,53600,53100,53100,53700,54500,54700,54900,55300,55600,55600,55700,56100,56400,56800,57400,57600,58100,59200,59300,58300,57200,56600,56300,56200,56300,56200,56300,56400,56400,56900,57400,57500,58800,60800,61800,61700,61900,62500,63100,63700,64300,64200,64200,64800,65200,65100,65400,65900,66700,67200,66600,65500,64400,64000,64800,65200,64800,64000,63300,62700,62000,61400,61100,61100,61500,61800,61600,61800,62000,62200,62500,63300,65100,67100,68000,69600,70800,71100,71300,72000,72000,72600,74000,75100,74200,72900,72400,71700,71200,72000,72700,73200,72800,71800,71000,70900,71000,71200,71400,71100,70800,70400,70100,69500,69900,70900,72000,72600,73100,73100,73100,72800,72600,72600,71600,70600,69600,67900,65200,63100,61500,60500,60800,62600,63600,63200,62900,63100,63300,64300,66400,68300,69700,71000,71900,72000,71600,71200,71900,73600,75600,77000,77500,77600,78000,78500,78800,78900,79900,81200,81400,80700,80900,80900,80500,79700,79000,78200,77200,76600,77600,79800,81400,81800,81000,80300,79800,79600,79500,79600,80300,81100,80500,78700,77500,77700,79200,81000,82700,84700,86000,85900,85600,85500,85400,86400,89000,91300,92200,92700,92900,93000,94700,97500,99100,98800,98700,98700,97700,96900,96900,96500
15206,Pittsburgh,PA,Pittsburgh,Allegheny,44500,44000,43800,44000,44200,44400,44400,44100,44000,44500,45200,45300,45400,45900,46900,47400,47900,48800,49600,49500,49100,49000,49500,50700,51700,52200,51800,50700,49400,48600,49000,49300,49200,49100,49000,48400,47900,47900,47700,47300,47200,47800,48500,49400,50300,51000,51600,52200,52800,53000,52800,52600,52500,51700,50900,50900,51100,50600,50100,50700,51600,52400,53300,54400,55300,56400,57200,57700,58400,59200,59400,59100,59100,58800,58300,58500,59400,60100,60900,62100,63700,64500,65200,66200,66100,65400,66100,66600,65600,64800,64800,65100,64900,64800,64600,64900,66600,69600,72700,76200,79400,81900,83200,83700,84500,85300,85100,84200,83600,82100,80000,78600,77200,75100,73200,72100,71400,71700,72800,73500,73800,74600,75300,76100,77700,79300,80800,82500,82700,81600,81300,81800,82200,81800,81700,81700,82000,83000,84300,84700,85300,86000,86400,87700,89200,91000,92500,93200,94500,97500,99300,99300,100600,104900,109100,110700,111600,113300,114600,115200,115400,114300,112400,112000,112400,112600,112000,112200,113500,116600,119200,119700,118800,117500,116100,115600,115400,115600,118100,120400,119900,117600,116400,116600,116300,115700,117500,121400,124400,124800,123900,122900,121200,118900,118700,120400,122500,124300,126400,126200,123100,120200,119000,118400,118500,118400,117500,114700,112500,113800,117300,120100,124000,127400,127900,128900,130600,131500,132000,135200,139000,140900,141100,141700,141700,141300,141600,143400,146700,149800,150600,150300
15401,Uniontown,PA,Pittsburgh,Fayette,35200,36000,36600,36600,36200,35700,35300,35500,35800,36200,36400,36800,37200,37600,37700,37500,37400,37500,37200,36700,36200,35800,35800,35800,35300,34900,34900,35300,35700,35600,35600,36000,36100,36200,36500,36600,36300,35800,35400,35300,34800,34300,33900,33500,33300,33400,33400,33500,33400,33700,34700,35500,36100,36300,36300,36100,36200,36500,37000,37600,38300,39100,39800,40200,39600,39200,39700,40500,41000,41700,42600,43100,43100,42700,42500,42700,43900,45400,46200,46400,46400,46200,46000,45600,45800,45800,44500,43100,42900,43000,43300,43700,44000,43600,43200,42600,42300,42500,43200,43400,43300,43300,43400,43600,43500,43600,43700,43600,43400,43400,43600,44600,46100,47500,48000,48100,48600,48800,48500,48400,48700,48600,48000,47200,46100,45100,44200,44000,44100,43800,43900,44400,44600,45200,46700,47800,48600,49100,49600,50100,50600,51000,51900,52600,53100,53600,53300,52300,51000,50100,49600,49200,48700,48500,48000,47400,47000,46000,46100,47200,48100,48800,50100,50600,50800,51100,52100,53400,54900,56100,56700,56300,55300,54500,53800,52800,51900,51600,51300,50700,50100,49700,49700,49500,49300,49400,50000,50700,51300,52000,52700,53600,53800,53400,52500,52700,54200,54900,53600,52700,52900,53100,52700,52000,51900,52200,52700,52800,52700,52900,53600,54500,55200,55400,55500,54900,54000,53500,52900,52200,52000,52000,51700,51700,51600,51100,50800,51100,51500,51900,51700,51400
15212,Pittsburgh,PA,Pittsburgh,Allegheny,36300,35500,35100,34900,34800,34600,34200,33700,33200,32900,33100,33200,33300,33500,33400,33200,33200,33100,33300,33900,34400,34500,34600,34600,34200,33500,32900,32700,32600,32800,33000,32800,32700,33000,33300,33500,33800,34000,33900,33600,33600,33500,33500,33400,33300,33300,33300,33300,33400,33700,33900,33700,33500,33600,33700,33700,33700,33800,33700,33700,34000,34500,35000,35500,36000,36300,36400,36400,36800,37400,37800,37700,37500,37400,37600,38100,38200,37900,37900,38200,38400,38100,37900,38000,38200,38100,38300,38700,39100,39500,39700,40100,40400,40500,40400,40800,41400,42000,42000,41900,42300,42700,42800,42600,42100,41800,41800,42000,42000,42100,42100,42000,41600,41100,41200,41900,42400,42700,43100,43300,43200,43200,43200,43400,43900,44300,44700,45000,45100,45200,45200,44900,44700,45000,45300,45100,44800,44800,44700,44400,44700,45400,45600,45800,46000,45800,45600,45600,45900,46200,45800,45300,45400,45600,45400,45500,45800,46400,47300,47800,47700,48000,48600,49000,48600,48500,49300,49700,49500,49800,49900,50100,50200,49900,49500,49500,49400,49100,49000,49300,49400,48800,48200,48100,48600,48900,49400,49900,50400,50600,50500,50600,51100,51600,51900,51500,50600,49900,49400,48400,47500,47300,47100,47100,47800,48500,49000,50100,51100,51500,52000,53000,53900,54200,54500,53800,51800,50000,49000,48200,47800,48300,49000,49500,49500,49100,48700,48900,49400,49300,49200,49400
15217,Pittsburgh,PA,Pittsburgh,Allegheny,,,,,,,,,,,,,,,,,71700,72300,72700,72400,71400,70500,69700,69200,69300,70400,72000,73800,75200,76300,77300,78100,79100,80000,80300,80400,80800,81000,81100,81400,81900,82300,82000,80900,80400,80300,79800,79400,79700,79700,79300,79200,79200,79100,80000,81800,83500,84400,84900,85400,85700,86100,86700,87200,88000,88700,89100,87800,84500,81300,79900,79600,79500,80200,81700,83200,84500,85900,87200,88900,90700,91900,92500,92900,92900,92900,92800,92700,92000,91200,90100,88800,87700,87700,88600,89700,90500,90900,91700,92900,94100,95400,96500,97600,99700,102400,103600,104200,105400,106200,105800,105200,104800,103100,102900,105600,109200,110300,111300,112700,114500,115700,116000,115300,114500,114600,115200,115200,114500,114500,114800,115100,115400,116700,118200,120300,122800,124100,124300,124700,125500,125700,124900,122400,120400,119500,118800,117600,117100,117600,118200,118300,117400,116400,115800,115400,113900,113100,113400,113300,112500,112300,112200,111900,111700,112600,114400,116800,117900,116600,114400,113700,114000,114600,114300,110700,106400,104200,103100,104000,107200,109700,109800,109000,108600,109400,110300,111300,112600,112500,109400,105900,103300,103400,106900,111500,112600,110200,108000,107500,105900,103900,104700,105900,104500,101300,98300,97000,99100,101300,101400,102700,106200,109300,111400,112300,111700,110700,109400,107400,104100,102000,101600,101300,100500,100500,99900,98100,97900,99500,100100,99700
15213,Pittsburgh,PA,Pittsburgh,Allegheny,46200,44900,43800,42800,42200,41500,41200,41100,41300,41500,41700,42000,42600,42800,42700,42700,42500,42400,42300,42200,42300,42500,42400,42300,42200,42300,42500,42500,42400,42500,42500,42500,42700,42900,42900,42700,42500,42600,43000,43300,43700,44100,44400,45100,46200,47000,46700,45900,45300,45200,45400,45400,45500,46000,46500,46900,47300,47300,47500,48000,48100,47900,47900,48100,48000,47700,48000,48400,48800,49300,49800,50100,50500,51300,51900,52500,53800,55000,55700,56400,57000,57600,57800,58400,59300,60200,61100,62000,62100,62300,62600,62300,61500,60500,60900,62900,64900,66200,67800,69200,70400,71400,72500,74300,76100,77100,77100,76200,75400,74900,74300,73100,72100,71500,70400,68800,67800,68600,69900,70300,71200,72700,74200,76100,78200,79600,80900,81800,81800,81800,82100,82100,81500,80400,78500,76900,76300,76200,76400,77200,78600,80000,81100,82900,84500,85100,85700,87000,88700,89900,90600,90900,91200,91100,90900,90600,90800,91200,91700,91700,91600,91200,90800,91000,90800,90400,90900,91800,92000,92500,93100,92300,91500,91500,91900,92200,93300,93700,92800,91900,91400,90600,90900,92200,92400,92200,92500,92400,92400,92700,92300,91100,89700,88900,88800,88600,87700,86600,85200,84200,83100,82300,82300,83700,85600,86800,87400,88500,90100,91600,93500,96300,99100,100700,101500,101900,102500,103800,105500,106400,106900,107600,108500,109000,108800,108900,109500,110100,110600,111500,112400,112900
15210,Pittsburgh,PA,Pittsburgh,Allegheny,33200,33100,32600,32300,32300,32100,31900,31900,31700,31500,31300,31500,31600,31800,32000,31900,31900,31900,31800,31700,31800,32000,32000,31900,31600,31200,31000,31100,31000,30800,30700,30700,30700,30900,31200,31300,31200,31300,31500,31400,31200,31400,31600,31400,31400,31400,31400,31500,31700,31900,31900,31800,31600,31900,32100,31900,31800,31700,31700,31900,32000,32200,32600,33000,33300,33500,33500,33900,34300,34500,34600,34500,34700,34900,34900,34900,35300,35500,35600,35800,35900,36000,36100,36300,36400,36100,36000,36400,36700,36800,37000,37100,36900,36600,36300,36100,35700,35700,36200,36600,37000,37300,37900,38600,38900,38900,39100,39400,39700,40000,39900,39200,38300,37600,37100,37000,37200,37800,37900,37900,37900,38000,38000,38100,38500,38700,38600,38400,38400,38400,38600,39000,39300,39300,39400,39500,39600,39700,39900,39800,39600,39800,40300,40400,40600,40900,41800,42500,42600,42600,42100,41700,42100,43000,42800,42300,42200,42200,41500,40800,40700,41000,41400,41800,41600,40900,40600,41100,42000,43200,43800,43900,43600,43500,43700,44200,44400,44200,44100,43900,43800,43700,44200,45100,46600,47600,48100,48300,48400,48100,48200,48200,47600,47000,46900,46500,45800,45900,46300,46300,46300,46900,47100,47200,47000,46700,46200,46300,46600,46600,46500,46600,46900,46800,46800,46400,45100,43700,42600,41600,41000,40800,40400,39800,39500,39400,39500,39900,40100,40000,40000,40200
15216,Pittsburgh,PA,Pittsburgh,Allegheny,45000,44500,43800,42700,41300,40400,40400,40700,40900,41100,41100,41000,41100,41000,40700,41000,41700,42100,41700,40800,40500,40900,40900,40400,39600,39000,38600,38200,37600,37000,36900,37100,37000,37100,37500,37800,37800,38100,38400,38700,39200,39500,39200,39100,39300,39300,39100,38900,39100,39900,40600,40700,40800,40500,40100,40000,40100,40100,40200,40400,40200,40000,39800,39600,39500,39300,39100,39100,39100,39100,39200,39400,39400,39200,39600,40700,41600,42400,43100,42700,42100,42100,42200,42400,42900,43600,43900,43700,43600,44100,45000,45800,46500,47300,47500,47600,48000,48300,48400,48600,49000,49200,48900,48800,49200,49700,50100,50100,50000,50000,50200,50800,51000,51300,53200,55800,57000,56800,57100,57300,57900,58400,58100,56600,55900,55500,54400,53000,52700,52600,52800,53100,53200,53500,54400,55700,56600,56900,57000,57500,57600,57600,58000,58900,59600,59900,59900,59600,59600,60200,60800,61300,61800,62400,62400,62200,62200,62300,62800,63600,63700,63100,62000,61100,60500,60000,59500,59900,60900,61000,60700,61500,63100,64200,64800,64400,64300,65000,66800,67800,67000,65900,65500,65300,64800,64600,64900,65500,66000,66700,66300,64200,62500,62900,64300,65000,65400,65800,66100,66100,65800,65300,65300,66100,66800,67200,66300,64600,62900,62600,63200,64200,64900,65300,65200,65500,66500,67700,68600,69200,69700,69900,69800,69800,70400,70800,70800,70500,70100,69700,69400,69200
15136,Stowe Township,PA,Pittsburgh,Allegheny,37400,37000,36500,36300,35800,35100,34300,33800,33400,32900,32800,33000,33100,33500,33800,34000,34100,34400,34600,34800,34900,35100,35100,35200,35300,35000,34600,34100,33300,32700,32500,32200,32000,32100,32500,32700,32700,33000,33400,33200,33000,33400,33800,33900,34500,35100,35000,34100,33800,33700,33500,33100,33100,33100,33000,32800,32800,32700,32600,32900,33200,33300,33400,33800,34100,34300,34400,35000,35300,35400,35100,35000,35300,35500,35900,36100,36200,36300,36600,36900,37100,36900,36700,37000,37000,36500,36300,36600,37100,37400,37300,36800,36300,36100,36700,37500,38000,38300,38400,38500,38900,39400,39900,40100,40200,40400,40800,40800,40700,41100,41600,41700,41500,41200,41400,41800,42100,42000,41900,41800,41900,42000,41800,41800,42000,42000,41700,41800,42000,42400,42600,42900,43500,43600,43000,43000,43000,42700,42700,42900,42900,43400,43600,42800,41500,41300,42300,43000,43300,43400,42900,42500,42600,42200,41400,40900,41000,41000,40900,40600,40500,41000,41800,41900,42000,42200,42400,43300,44300,44500,44000,44000,44400,44800,44700,44700,44700,45000,45500,45900,46000,46400,46900,47200,47500,47900,48300,48500,48700,48800,48500,48100,47600,46800,45700,44500,43200,42100,41100,40400,39600,39100,39100,39700,40200,41000,41900,42600,42900,42700,42800,43500,44200,44500,44600,43700,42400,41900,41700,41200,41100,41600,42100,42300,42100,41900,42400,43400,44000,44200,44400,44900
15202,Bellevue,PA,Pittsburgh,Allegheny,46400,45900,45500,44800,44300,44200,44100,43800,43400,43400,43800,44100,44300,44500,44900,45600,45900,45200,44700,44400,44000,43600,43400,43400,43100,42900,42900,42500,41900,41800,42300,43000,43800,44500,45100,45400,45300,45100,45100,45200,45300,45700,45800,45400,45300,45600,45500,45100,44800,44700,44500,44600,44900,45000,44900,45300,46000,46400,46400,46500,47100,47900,48100,47800,47900,48400,48700,48700,48900,49400,49500,49400,49400,49700,49800,49900,50000,50400,50700,50600,50400,50400,50500,50700,50900,50600,50900,52000,52700,52700,53400,54200,54200,54000,54000,54000,53700,53500,53500,53900,54300,54700,55100,55100,54700,54000,53500,53900,55300,56400,56700,56700,56900,56900,56800,56800,56700,56000,55800,56600,56500,56200,56500,56800,55800,54200,53000,52500,53500,55700,57400,57500,57200,57600,58100,58800,60900,64000,66400,67600,68500,68900,68700,68000,67600,67400,66200,63700,60900,57800,55100,54000,53300,52000,50900,50500,50100,49300,48700,48800,49200,49500,49700,49600,49400,49200,49000,49000,48900,48500,48200,48300,48400,48400,48400,48000,47800,47900,48100,47900,48200,49200,49900,49700,49600,50700,52400,52800,52000,51600,51700,51600,51100,50600,50700,50500,50100,49800,49100,48300,48000,47600,47300,47400,48000,48500,48900,49500,50000,50200,50700,51500,51700,50800,49900,49900,49900,49600,49400,49100,48800,48700,48700,49000,49500,51100,52700,53300,53100,53000,53200,53700
